item_name,serving_info,calories,fat,carbohydrates,protein,url,page
Belimbing,100 g,,"0,33g","6,73g","1,04g",https://www.fatsecret.co.id/kalori-gizi/superindo/belimbing/100g,9
Bihun Jagung,100 g,,"0,50g","85,00g","1,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/bihun-jagung/100g,9
Spicy Wing,100 g,,"11,00g","0,00g","22,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/spicy-wing/100g,9
Abon Sapi Super,100 g,,"27,00g","40,00g","26,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/abon-sapi-super/100g,9
Tuna Chunk in Brine,100 g,,"0,50g","2,00g","23,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tuna-chunk-in-brine/100g,10
Kacang Kulit,100 g,,"46,00g","19,00g","28,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/kacang-kulit/100g,10
Sosis Ayam Keju,100 g,,"11,00g","10,00g","17,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/sosis-ayam-keju/100g,10
Chicken Stick,100 g,,"9,00g","10,00g","19,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/chicken-stick/100g,10
Tuna Saus Cabe,100 g,,"7,00g","1,00g","19,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tuna-saus-cabe/100g,11
Sosis Bratwurst,100 g,,"9,00g","7,00g","16,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/sosis-bratwurst/100g,11
Tuna Bumbu Nasi Goreng,100 g,,"12,00g","6,00g","20,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tuna-bumbu-nasi-goreng/100g,11
Tuna Potongan dalam Air Garam,100 g,,"1,00g","2,00g","22,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tuna-potongan-dalam-air-garam/100g,11
Tuna Chunk in Vegetable Oil,100 g,,"4,00g","1,00g","22,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tuna-chunk-in-vegetable-oil/100g,12
Tuna Flakes In Chili Sauce,100 g,,"7,00g","1,00g","19,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/tuna-flakes-in-chili-sauce/100g,12
Kolang Kaling Tawar,100 g,,"0,00g","12,00g","0,00g",https://www.fatsecret.co.id/kalori-gizi/superindo/kolang-kaling-tawar/100g,12
Kacang Panjang,100 g,,"0,12g","7,13g","1,82g",https://www.fatsecret.co.id/kalori-gizi/superindo/kacang-panjang/100g,12
